"Source:","/home/barnacle/Projects/Cisc-8/Old/cisc-8 new/cisc-8.sch"
"Date:","Fri 28 Jun 2019 20:37:52 BST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","311"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C701","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C702","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C801","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C802","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C901","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1001","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1002","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1003","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1004","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1101","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1102","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1103","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1201","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1202","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1203","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1204","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1205","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1206","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1207","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1301","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1401","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1402","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1403","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1404","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1405","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1406","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1407","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1408","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1409","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1410","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1411","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1412","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1413","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1414","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1415","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1416","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1417","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1418","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1419","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1501","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1502","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1503","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1504","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1505","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1506","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1507","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1508","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1509","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1510","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1511","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1512","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1513","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1514","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1515","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1516","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1517","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1518","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1519","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1520","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1521","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1522","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1523","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1601","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1602","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
